Data type,Cancer group/site,Year,Sex,Age group (years),Count
Actual,Melanoma of the skin,2018,Females,80-84,404
Actual,Melanoma of the skin,2019,Females,80-84,467
Actual,Melanoma of the skin,2020,Females,80-84,436
Projections,Melanoma of the skin,2021,Females,80-84,490
Projections,Melanoma of the skin,2022,Females,80-84,516
Projections,Melanoma of the skin,2023,Females,80-84,538
Projections,Melanoma of the skin,2024,Females,80-84,571
Actual,Melanoma of the skin,1982,Persons,80-84,97
Actual,Melanoma of the skin,1983,Persons,80-84,93
Actual,Melanoma of the skin,1984,Persons,80-84,134
Actual,Melanoma of the skin,1985,Persons,80-84,139
Actual,Melanoma of the skin,1986,Persons,80-84,158
Actual,Melanoma of the skin,1987,Persons,80-84,191
Actual,Melanoma of the skin,1988,Persons,80-84,200
Actual,Melanoma of the skin,1989,Persons,80-84,236
Actual,Melanoma of the skin,1990,Persons,80-84,234
Actual,Melanoma of the skin,1991,Persons,80-84,286
Actual,Melanoma of the skin,1992,Persons,80-84,305
Actual,Melanoma of the skin,1993,Persons,80-84,336
Actual,Melanoma of the skin,1994,Persons,80-84,354
Actual,Melanoma of the skin,1995,Persons,80-84,380
Actual,Melanoma of the skin,1996,Persons,80-84,426
Actual,Melanoma of the skin,1997,Persons,80-84,420
Actual,Melanoma of the skin,1998,Persons,80-84,424
Actual,Melanoma of the skin,1999,Persons,80-84,498
Actual,Melanoma of the skin,2000,Persons,80-84,501
Actual,Melanoma of the skin,2001,Persons,80-84,543
Actual,Melanoma of the skin,2002,Persons,80-84,634
Actual,Melanoma of the skin,2003,Persons,80-84,657
Actual,Melanoma of the skin,2004,Persons,80-84,741
Actual,Melanoma of the skin,2005,Persons,80-84,833
Actual,Melanoma of the skin,2006,Persons,80-84,772
Actual,Melanoma of the skin,2007,Persons,80-84,865
Actual,Melanoma of the skin,2008,Persons,80-84,975
Actual,Melanoma of the skin,2009,Persons,80-84,914
Actual,Melanoma of the skin,2010,Persons,80-84,981
Actual,Melanoma of the skin,2011,Persons,80-84,970
Actual,Melanoma of the skin,2012,Persons,80-84,929
Actual,Melanoma of the skin,2013,Persons,80-84,"1,069"
Actual,Melanoma of the skin,2014,Persons,80-84,"1,105"
Actual,Melanoma of the skin,2015,Persons,80-84,"1,024"
